sku,tier_price_website,tier_price_customer_group,tier_price_qty,tier_price,errors
10258,"All Websites [EUR]","ALL GROUPS",1,3.130,"Product Type is invalid or not supported"
10259,"All Websites [EUR]","ALL GROUPS",1,1.990,"Product Type is invalid or not supported"
10260,"All Websites [EUR]","ALL GROUPS",1,2.190,"Product Type is invalid or not supported"
10261,"All Websites [EUR]","ALL GROUPS",1,1.990,"Product Type is invalid or not supported"
10262-MG,"All Websites [EUR]","ALL GROUPS",1,4.190,"Product Type is invalid or not supported"
10264-WE,"All Websites [EUR]","ALL GROUPS",1,2.400,"Product Type is invalid or not supported"
10266,"All Websites [EUR]","ALL GROUPS",1,5.820,"Product Type is invalid or not supported"
10268,"All Websites [EUR]","ALL GROUPS",1,3.350,"Product Type is invalid or not supported"
10269-BK,"All Websites [EUR]","ALL GROUPS",1,3.720,"Product Type is invalid or not supported"
10274,"All Websites [EUR]","ALL GROUPS",1,2.990,"Product Type is invalid or not supported"
10275,"All Websites [EUR]","ALL GROUPS",1,5.030,"Product Type is invalid or not supported"
10280,"All Websites [EUR]","ALL GROUPS",1,1.280,"Product Type is invalid or not supported"
10281,"All Websites [EUR]","ALL GROUPS",1,1.280,"Product Type is invalid or not supported"
10282,"All Websites [EUR]","ALL GROUPS",1,2.390,"Product Type is invalid or not supported"
10283,"All Websites [EUR]","ALL GROUPS",1,3.130,"Product Type is invalid or not supported"
10284,"All Websites [EUR]","ALL GROUPS",1,1.680,"Product Type is invalid or not supported"
10284-M,"All Websites [EUR]","ALL GROUPS",1,1.460,"Product Type is invalid or not supported"
10285-BE,"All Websites [EUR]","ALL GROUPS",1,1.880,"Product Type is invalid or not supported"
10285-BK,"All Websites [EUR]","ALL GROUPS",1,1.880,"Product Type is invalid or not supported"
10286-BK,"All Websites [EUR]","ALL GROUPS",1,830,"Product Type is invalid or not supported"
10286-WE,"All Websites [EUR]","ALL GROUPS",1,830,"Product Type is invalid or not supported"
10289,"All Websites [EUR]","ALL GROUPS",1,2.720,"Product Type is invalid or not supported"
10290,"All Websites [EUR]","ALL GROUPS",1,2.400,"Product Type is invalid or not supported"
10291,"All Websites [EUR]","ALL GROUPS",1,2.720,"Product Type is invalid or not supported"
10292,"All Websites [EUR]","ALL GROUPS",1,2.820,"Product Type is invalid or not supported"
10294,"All Websites [EUR]","ALL GROUPS",1,1.560,"Product Type is invalid or not supported"
10295-BK,"All Websites [EUR]","ALL GROUPS",1,690,"Product Type is invalid or not supported"
10295-SR,"All Websites [EUR]","ALL GROUPS",1,690,"Product Type is invalid or not supported"
10296-BK,"All Websites [EUR]","ALL GROUPS",1,490,"Product Type is invalid or not supported"
10296-SR,"All Websites [EUR]","ALL GROUPS",1,490,"Product Type is invalid or not supported"
10297-BK,"All Websites [EUR]","ALL GROUPS",1,1.030,"Product Type is invalid or not supported"
10297-DBE,"All Websites [EUR]","ALL GROUPS",1,1.030,"Product Type is invalid or not supported"
10297-DGN,"All Websites [EUR]","ALL GROUPS",1,1.030,"Product Type is invalid or not supported"
10297-GD,"All Websites [EUR]","ALL GROUPS",1,1.030,"Product Type is invalid or not supported"
10297-OE,"All Websites [EUR]","ALL GROUPS",1,1.030,"Product Type is invalid or not supported"
10297-SR,"All Websites [EUR]","ALL GROUPS",1,1.030,"Product Type is invalid or not supported"
10298-BK,"All Websites [EUR]","ALL GROUPS",1,560,"Product Type is invalid or not supported"
10298-RD,"All Websites [EUR]","ALL GROUPS",1,560,"Product Type is invalid or not supported"
10300-GM,"All Websites [EUR]","ALL GROUPS",1,2.930,"Product Type is invalid or not supported"
10301-GM,"All Websites [EUR]","ALL GROUPS",1,3.130,"Product Type is invalid or not supported"
10303-BK,"All Websites [EUR]","ALL GROUPS",1,920,"Product Type is invalid or not supported"
10303-DBE,"All Websites [EUR]","ALL GROUPS",1,920,"Product Type is invalid or not supported"
10303-DGY,"All Websites [EUR]","ALL GROUPS",1,920,"Product Type is invalid or not supported"
10303-LGN,"All Websites [EUR]","ALL GROUPS",1,920,"Product Type is invalid or not supported"
10303-OE,"All Websites [EUR]","ALL GROUPS",1,920,"Product Type is invalid or not supported"
10303-RD,"All Websites [EUR]","ALL GROUPS",1,920,"Product Type is invalid or not supported"
10303-SR,"All Websites [EUR]","ALL GROUPS",1,920,"Product Type is invalid or not supported"
10306,"All Websites [EUR]","ALL GROUPS",1,2.090,"Product Type is invalid or not supported"
10307,"All Websites [EUR]","ALL GROUPS",1,1.680,"Product Type is invalid or not supported"
10308,"All Websites [EUR]","ALL GROUPS",1,2.090,"Product Type is invalid or not supported"
10309-BE,"All Websites [EUR]","ALL GROUPS",1,1.180,"Product Type is invalid or not supported"
10309-BK,"All Websites [EUR]","ALL GROUPS",1,1.180,"Product Type is invalid or not supported"
10309-LBE,"All Websites [EUR]","ALL GROUPS",1,1.180,"Product Type is invalid or not supported"
10309-LGN,"All Websites [EUR]","ALL GROUPS",1,1.180,"Product Type is invalid or not supported"
10309-LMG,"All Websites [EUR]","ALL GROUPS",1,1.180,"Product Type is invalid or not supported"
10309-OE,"All Websites [EUR]","ALL GROUPS",1,1.180,"Product Type is invalid or not supported"
10309-PE,"All Websites [EUR]","ALL GROUPS",1,1.180,"Product Type is invalid or not supported"
10309-RD,"All Websites [EUR]","ALL GROUPS",1,1.180,"Product Type is invalid or not supported"
10309-WE,"All Websites [EUR]","ALL GROUPS",1,1.180,"Product Type is invalid or not supported"
10311,"All Websites [EUR]","ALL GROUPS",1,1.780,"Product Type is invalid or not supported"
10312,"All Websites [EUR]","ALL GROUPS",1,1.780,"Product Type is invalid or not supported"
10313,"All Websites [EUR]","ALL GROUPS",1,1.780,"Product Type is invalid or not supported"
10314,"All Websites [EUR]","ALL GROUPS",1,1.780,"Product Type is invalid or not supported"
10315,"All Websites [EUR]","ALL GROUPS",1,1.960,"Product Type is invalid or not supported"
10316,"All Websites [EUR]","ALL GROUPS",1,2.500,"Product Type is invalid or not supported"
10317,"All Websites [EUR]","ALL GROUPS",1,2.500,"Product Type is invalid or not supported"
10318,"All Websites [EUR]","ALL GROUPS",1,2.500,"Product Type is invalid or not supported"
10319,"All Websites [EUR]","ALL GROUPS",1,1.560,"Product Type is invalid or not supported"
10320,"All Websites [EUR]","ALL GROUPS",1,2.620,"Product Type is invalid or not supported"
10321-BK,"All Websites [EUR]","ALL GROUPS",1,2.090,"Product Type is invalid or not supported"
10322,"All Websites [EUR]","ALL GROUPS",1,1.560,"Product Type is invalid or not supported"
10325-BE,"All Websites [EUR]","ALL GROUPS",1,3.490,"Product Type is invalid or not supported"
10325-DGY,"All Websites [EUR]","ALL GROUPS",1,3.490,"Product Type is invalid or not supported"
10327,"All Websites [EUR]","ALL GROUPS",1,1.700,"Product Type is invalid or not supported"
10328,"All Websites [EUR]","ALL GROUPS",1,1.700,"Product Type is invalid or not supported"
10329,"All Websites [EUR]","ALL GROUPS",1,1.700,"Product Type is invalid or not supported"
10330,"All Websites [EUR]","ALL GROUPS",1,1.700,"Product Type is invalid or not supported"
10331,"All Websites [EUR]","ALL GROUPS",1,1.700,"Product Type is invalid or not supported"
10332,"All Websites [EUR]","ALL GROUPS",1,1.700,"Product Type is invalid or not supported"
10333,"All Websites [EUR]","ALL GROUPS",1,1.850,"Product Type is invalid or not supported"
10334,"All Websites [EUR]","ALL GROUPS",1,1.850,"Product Type is invalid or not supported"
10335,"All Websites [EUR]","ALL GROUPS",1,1.850,"Product Type is invalid or not supported"
10336,"All Websites [EUR]","ALL GROUPS",1,2.690,"Product Type is invalid or not supported"
10337,"All Websites [EUR]","ALL GROUPS",1,2.490,"Product Type is invalid or not supported"
10338-BE,"All Websites [EUR]","ALL GROUPS",1,1.690,"Product Type is invalid or not supported"
10338-BK,"All Websites [EUR]","ALL GROUPS",1,1.690,"Product Type is invalid or not supported"
10338-LGN,"All Websites [EUR]","ALL GROUPS",1,1.690,"Product Type is invalid or not supported"
10338-RD,"All Websites [EUR]","ALL GROUPS",1,1.690,"Product Type is invalid or not supported"
10338-WE,"All Websites [EUR]","ALL GROUPS",1,1.690,"Product Type is invalid or not supported"
10338-YW,"All Websites [EUR]","ALL GROUPS",1,1.690,"Product Type is invalid or not supported"
10339-BE,"All Websites [EUR]","ALL GROUPS",1,1.690,"Product Type is invalid or not supported"
10339-BK,"All Websites [EUR]","ALL GROUPS",1,1.690,"Product Type is invalid or not supported"
10339-LGN,"All Websites [EUR]","ALL GROUPS",1,1.690,"Product Type is invalid or not supported"
10339-RD,"All Websites [EUR]","ALL GROUPS",1,1.690,"Product Type is invalid or not supported"
10339-WE,"All Websites [EUR]","ALL GROUPS",1,1.690,"Product Type is invalid or not supported"
10339-YW,"All Websites [EUR]","ALL GROUPS",1,1.690,"Product Type is invalid or not supported"
10340-BE,"All Websites [EUR]","ALL GROUPS",1,390,"Product Type is invalid or not supported"
10340-RD,"All Websites [EUR]","ALL GROUPS",1,390,"Product Type is invalid or not supported"
10341-BE,"All Websites [EUR]","ALL GROUPS",1,390,"Product Type is invalid or not supported"
10341-BK,"All Websites [EUR]","ALL GROUPS",1,390,"Product Type is invalid or not supported"
10341-OE,"All Websites [EUR]","ALL GROUPS",1,390,"Product Type is invalid or not supported"
10341-RD,"All Websites [EUR]","ALL GROUPS",1,390,"Product Type is invalid or not supported"
10341-WE,"All Websites [EUR]","ALL GROUPS",1,390,"Product Type is invalid or not supported"
10341-YW,"All Websites [EUR]","ALL GROUPS",1,390,"Product Type is invalid or not supported"
19011-SR/W,"All Websites [EUR]","ALL GROUPS",1,1.990,"Product Type is invalid or not supported"
19013-SR/W,"All Websites [EUR]","ALL GROUPS",1,2.290,"Product Type is invalid or not supported"
19017,"All Websites [EUR]","ALL GROUPS",1,6.460,"Product Type is invalid or not supported"
19018,"All Websites [EUR]","ALL GROUPS",1,6.150,"Product Type is invalid or not supported"
19022,"All Websites [EUR]","ALL GROUPS",1,7.330,"Product Type is invalid or not supported"
19023,"All Websites [EUR]","ALL GROUPS",1,15.730,"Product Type is invalid or not supported"
19027,"All Websites [EUR]","ALL GROUPS",1,49.330,"Product Type is invalid or not supported"
19031,"All Websites [EUR]","ALL GROUPS",1,10.450,"Product Type is invalid or not supported"
19033,"All Websites [EUR]","ALL GROUPS",1,3.460,"Product Type is invalid or not supported"
19036,"All Websites [EUR]","ALL GROUPS",1,1.990,"Product Type is invalid or not supported"
19037,"All Websites [EUR]","ALL GROUPS",1,3.560,"Product Type is invalid or not supported"
19039,"All Websites [EUR]","ALL GROUPS",1,2.620,"Product Type is invalid or not supported"
19040-BK,"All Websites [EUR]","ALL GROUPS",1,1.850,"Product Type is invalid or not supported"
19040-SR,"All Websites [EUR]","ALL GROUPS",1,1.850,"Product Type is invalid or not supported"
19042,"All Websites [EUR]","ALL GROUPS",1,8.720,"Product Type is invalid or not supported"
19043-BE,"All Websites [EUR]","ALL GROUPS",1,1.950,"Product Type is invalid or not supported"
19043-BK,"All Websites [EUR]","ALL GROUPS",1,1.950,"Product Type is invalid or not supported"
19043-RD,"All Websites [EUR]","ALL GROUPS",1,1.950,"Product Type is invalid or not supported"
19043-SR,"All Websites [EUR]","ALL GROUPS",1,1.950,"Product Type is invalid or not supported"
19044,"All Websites [EUR]","ALL GROUPS",1,7.330,"Product Type is invalid or not supported"
19045,"All Websites [EUR]","ALL GROUPS",1,7.330,"Product Type is invalid or not supported"
19046-BE,"All Websites [EUR]","ALL GROUPS",1,1.030,"Product Type is invalid or not supported"
19046-BK,"All Websites [EUR]","ALL GROUPS",1,1.030,"Product Type is invalid or not supported"
19046-RD,"All Websites [EUR]","ALL GROUPS",1,1.030,"Product Type is invalid or not supported"
19046-SR,"All Websites [EUR]","ALL GROUPS",1,1.030,"Product Type is invalid or not supported"
19047-BK,"All Websites [EUR]","ALL GROUPS",1,1.880,"Product Type is invalid or not supported"
19047-SR,"All Websites [EUR]","ALL GROUPS",1,1.880,"Product Type is invalid or not supported"
19048,"All Websites [EUR]","ALL GROUPS",1,1.990,"Product Type is invalid or not supported"
2010020,"All Websites [EUR]","ALL GROUPS",1,3.090,"Product Type is invalid or not supported"
2010052,"All Websites [EUR]","ALL GROUPS",1,1.360,"Product Type is invalid or not supported"
2010120,"All Websites [EUR]","ALL GROUPS",1,3.120,"Product Type is invalid or not supported"
2010138,"All Websites [EUR]","ALL GROUPS",1,6.700,"Product Type is invalid or not supported"
2010158,"All Websites [EUR]","ALL GROUPS",1,580,"Product Type is invalid or not supported"
2010159,"All Websites [EUR]","ALL GROUPS",1,580,"Product Type is invalid or not supported"
2010200,"All Websites [EUR]","ALL GROUPS",1,390,"Product Type is invalid or not supported"
2010201,"All Websites [EUR]","ALL GROUPS",1,390,"Product Type is invalid or not supported"
2050331,"All Websites [EUR]","ALL GROUPS",1,2.090,"Product Type is invalid or not supported"
2060018,"All Websites [EUR]","ALL GROUPS",1,5.820,"Product Type is invalid or not supported"
3010020,"All Websites [EUR]","ALL GROUPS",1,3.090,"Product Type is invalid or not supported"
3010158,"All Websites [EUR]","ALL GROUPS",1,580,"Product Type is invalid or not supported"
3010200,"All Websites [EUR]","ALL GROUPS",1,390,"Product Type is invalid or not supported"
4010158,"All Websites [EUR]","ALL GROUPS",1,580,"Product Type is invalid or not supported"
50002,"All Websites [EUR]","ALL GROUPS",1,3.350,"Product Type is invalid or not supported"
50007-M,"All Websites [EUR]","ALL GROUPS",1,8.390,"Product Type is invalid or not supported"
50013-M,"All Websites [EUR]","ALL GROUPS",1,9.960,"Product Type is invalid or not supported"
50015,"All Websites [EUR]","ALL GROUPS",1,2.190,"Product Type is invalid or not supported"
50019,"All Websites [EUR]","ALL GROUPS",1,1.560,"Product Type is invalid or not supported"
50020,"All Websites [EUR]","ALL GROUPS",1,1.560,"Product Type is invalid or not supported"
50021,"All Websites [EUR]","ALL GROUPS",1,1.560,"Product Type is invalid or not supported"
50022,"All Websites [EUR]","ALL GROUPS",1,1.560,"Product Type is invalid or not supported"
50038,"All Websites [EUR]","ALL GROUPS",1,3.250,"Product Type is invalid or not supported"
50042,"All Websites [EUR]","ALL GROUPS",1,2.620,"Product Type is invalid or not supported"
50046,"All Websites [EUR]","ALL GROUPS",1,5.230,"Product Type is invalid or not supported"
50046-M,"All Websites [EUR]","ALL GROUPS",1,5.230,"Product Type is invalid or not supported"
50057,"All Websites [EUR]","ALL GROUPS",1,2.290,"Product Type is invalid or not supported"
50058,"All Websites [EUR]","ALL GROUPS",1,3.720,"Product Type is invalid or not supported"
50061,"All Websites [EUR]","ALL GROUPS",1,14.280,"Product Type is invalid or not supported"
50072-M,"All Websites [EUR]","ALL GROUPS",1,5.200,"Product Type is invalid or not supported"
5010158,"All Websites [EUR]","ALL GROUPS",1,580,"Product Type is invalid or not supported"
50103,"All Websites [EUR]","ALL GROUPS",1,3.780,"Product Type is invalid or not supported"
50108,"All Websites [EUR]","ALL GROUPS",1,19.990,"Product Type is invalid or not supported"
50178,"All Websites [EUR]","ALL GROUPS",1,3.550,"Product Type is invalid or not supported"
50185,"All Websites [EUR]","ALL GROUPS",1,12.430,"Product Type is invalid or not supported"
50192,"All Websites [EUR]","ALL GROUPS",1,2.190,"Product Type is invalid or not supported"
50240,"All Websites [EUR]","ALL GROUPS",1,3.460,"Product Type is invalid or not supported"
50264,"All Websites [EUR]","ALL GROUPS",1,3.290,"Product Type is invalid or not supported"
50290,"All Websites [EUR]","ALL GROUPS",1,16.790,"Product Type is invalid or not supported"
50306,"All Websites [EUR]","ALL GROUPS",1,3.350,"Product Type is invalid or not supported"
50314,"All Websites [EUR]","ALL GROUPS",1,7.330,"Product Type is invalid or not supported"
50334,"All Websites [EUR]","ALL GROUPS",1,22.360,"Product Type is invalid or not supported"
50347,"All Websites [EUR]","ALL GROUPS",1,4.290,"Product Type is invalid or not supported"
50347-DGY,"All Websites [EUR]","ALL GROUPS",1,4.290,"Product Type is invalid or not supported"
50347-OE,"All Websites [EUR]","ALL GROUPS",1,4.290,"Product Type is invalid or not supported"
50354,"All Websites [EUR]","ALL GROUPS",1,9.990,"Product Type is invalid or not supported"
50354-DGY,"All Websites [EUR]","ALL GROUPS",1,9.990,"Product Type is invalid or not supported"
50403,"All Websites [EUR]","ALL GROUPS",1,28.290,"Product Type is invalid or not supported"
50439,"All Websites [EUR]","ALL GROUPS",1,13.580,"Product Type is invalid or not supported"
50464,"All Websites [EUR]","ALL GROUPS",1,30.020,"Product Type is invalid or not supported"
50485,"All Websites [EUR]","ALL GROUPS",1,6.700,"Product Type is invalid or not supported"
50524,"All Websites [EUR]","ALL GROUPS",1,4.990,"Product Type is invalid or not supported"
50542,"All Websites [EUR]","ALL GROUPS",1,24.560,"Product Type is invalid or not supported"
50581,"All Websites [EUR]","ALL GROUPS",1,5.200,"Product Type is invalid or not supported"
50588,"All Websites [EUR]","ALL GROUPS",1,3.720,"Product Type is invalid or not supported"
50589,"All Websites [EUR]","ALL GROUPS",1,5.560,"Product Type is invalid or not supported"
50592,"All Websites [EUR]","ALL GROUPS",1,20.520,"Product Type is invalid or not supported"
50601,"All Websites [EUR]","ALL GROUPS",1,3.250,"Product Type is invalid or not supported"
50611,"All Websites [EUR]","ALL GROUPS",1,7.330,"Product Type is invalid or not supported"
50612-SR,"All Websites [EUR]","ALL GROUPS",1,2.720,"Product Type is invalid or not supported"
50615,"All Websites [EUR]","ALL GROUPS",1,1.590,"Product Type is invalid or not supported"
50616,"All Websites [EUR]","ALL GROUPS",1,980,"Product Type is invalid or not supported"
50617-SR,"All Websites [EUR]","ALL GROUPS",1,1.100,"Product Type is invalid or not supported"
50623,"All Websites [EUR]","ALL GROUPS",1,6.200,"Product Type is invalid or not supported"
50636,"All Websites [EUR]","ALL GROUPS",1,36.900,"Product Type is invalid or not supported"
50652-BE,"All Websites [EUR]","ALL GROUPS",1,3.720,"Product Type is invalid or not supported"
50656,"All Websites [EUR]","ALL GROUPS",1,4.600,"Product Type is invalid or not supported"
50660,"All Websites [EUR]","ALL GROUPS",1,9.330,"Product Type is invalid or not supported"
50664,"All Websites [EUR]","ALL GROUPS",1,2.720,"Product Type is invalid or not supported"
50672,"All Websites [EUR]","ALL GROUPS",1,2.300,"Product Type is invalid or not supported"
50673,"All Websites [EUR]","ALL GROUPS",1,7.450,"Product Type is invalid or not supported"
50674,"All Websites [EUR]","ALL GROUPS",1,4.390,"Product Type is invalid or not supported"
50675,"All Websites [EUR]","ALL GROUPS",1,4.690,"Product Type is invalid or not supported"
50679,"All Websites [EUR]","ALL GROUPS",1,3.980,"Product Type is invalid or not supported"
50682,"All Websites [EUR]","ALL GROUPS",1,11.030,"Product Type is invalid or not supported"
50690-BE,"All Websites [EUR]","ALL GROUPS",1,1.560,"Product Type is invalid or not supported"
50690-GY,"All Websites [EUR]","ALL GROUPS",1,1.560,"Product Type is invalid or not supported"
50690-SR,"All Websites [EUR]","ALL GROUPS",1,1.560,"Product Type is invalid or not supported"
50694-BE,"All Websites [EUR]","ALL GROUPS",1,3.690,"Product Type is invalid or not supported"
50694-BK,"All Websites [EUR]","ALL GROUPS",1,3.690,"Product Type is invalid or not supported"
50694-BKR,"All Websites [EUR]","ALL GROUPS",1,3.690,"Product Type is invalid or not supported"
50694-DGN,"All Websites [EUR]","ALL GROUPS",1,3.690,"Product Type is invalid or not supported"
50694-LRD,"All Websites [EUR]","ALL GROUPS",1,3.690,"Product Type is invalid or not supported"
50694-M,"All Websites [EUR]","ALL GROUPS",1,3.690,"Product Type is invalid or not supported"
50694-MG,"All Websites [EUR]","ALL GROUPS",1,3.690,"Product Type is invalid or not supported"
50694-RD,"All Websites [EUR]","ALL GROUPS",1,3.690,"Product Type is invalid or not supported"
50694-S,"All Websites [EUR]","ALL GROUPS",1,3.690,"Product Type is invalid or not supported"
50694-WEC,"All Websites [EUR]","ALL GROUPS",1,3.690,"Product Type is invalid or not supported"
50703,"All Websites [EUR]","ALL GROUPS",1,3.720,"Product Type is invalid or not supported"
50703-DGY,"All Websites [EUR]","ALL GROUPS",1,3.720,"Product Type is invalid or not supported"
50703-OE,"All Websites [EUR]","ALL GROUPS",1,3.720,"Product Type is invalid or not supported"
50719,"All Websites [EUR]","ALL GROUPS",1,2.480,"Product Type is invalid or not supported"
50732,"All Websites [EUR]","ALL GROUPS",1,11.180,"Product Type is invalid or not supported"
50733,"All Websites [EUR]","ALL GROUPS",1,3.250,"Product Type is invalid or not supported"
50776,"All Websites [EUR]","ALL GROUPS",1,4.600,"Product Type is invalid or not supported"
50793,"All Websites [EUR]","ALL GROUPS",1,5.980,"Product Type is invalid or not supported"
50801,"All Websites [EUR]","ALL GROUPS",1,18.320,"Product Type is invalid or not supported"
50805,"All Websites [EUR]","ALL GROUPS",1,6.760,"Product Type is invalid or not supported"
50806,"All Websites [EUR]","ALL GROUPS",1,11.590,"Product Type is invalid or not supported"
50810,"All Websites [EUR]","ALL GROUPS",1,10.500,"Product Type is invalid or not supported"
50811,"All Websites [EUR]","ALL GROUPS",1,4.290,"Product Type is invalid or not supported"
50812,"All Websites [EUR]","ALL GROUPS",1,10.500,"Product Type is invalid or not supported"
50822,"All Websites [EUR]","ALL GROUPS",1,11.700,"Product Type is invalid or not supported"
50823,"All Websites [EUR]","ALL GROUPS",1,10.490,"Product Type is invalid or not supported"
50826,"All Websites [EUR]","ALL GROUPS",1,7.330,"Product Type is invalid or not supported"
50847-RD,"All Websites [EUR]","ALL GROUPS",1,4.280,"Product Type is invalid or not supported"
50858,"All Websites [EUR]","ALL GROUPS",1,16.990,"Product Type is invalid or not supported"
50868,"All Websites [EUR]","ALL GROUPS",1,18.680,"Product Type is invalid or not supported"
50883-GY,"All Websites [EUR]","ALL GROUPS",1,2.230,"Product Type is invalid or not supported"
50884-CR,"All Websites [EUR]","ALL GROUPS",1,2.230,"Product Type is invalid or not supported"
50884-GY,"All Websites [EUR]","ALL GROUPS",1,2.230,"Product Type is invalid or not supported"
50891,"All Websites [EUR]","ALL GROUPS",1,13.080,"Product Type is invalid or not supported"
50895-SR,"All Websites [EUR]","ALL GROUPS",1,2.720,"Product Type is invalid or not supported"
50903,"All Websites [EUR]","ALL GROUPS",1,820,"Product Type is invalid or not supported"
50904,"All Websites [EUR]","ALL GROUPS",1,15.590,"Product Type is invalid or not supported"
50920,"All Websites [EUR]","ALL GROUPS",1,3.980,"Product Type is invalid or not supported"
50931,"All Websites [EUR]","ALL GROUPS",1,15.000,"Product Type is invalid or not supported"
50936,"All Websites [EUR]","ALL GROUPS",1,3.030,"Product Type is invalid or not supported"
50937,"All Websites [EUR]","ALL GROUPS",1,3.030,"Product Type is invalid or not supported"
50943,"All Websites [EUR]","ALL GROUPS",1,1.290,"Product Type is invalid or not supported"
50950,"All Websites [EUR]","ALL GROUPS",1,3.460,"Product Type is invalid or not supported"
50952,"All Websites [EUR]","ALL GROUPS",1,58.580,"Product Type is invalid or not supported"
50973,"All Websites [EUR]","ALL GROUPS",1,8.390,"Product Type is invalid or not supported"
50976,"All Websites [EUR]","ALL GROUPS",1,16.160,"Product Type is invalid or not supported"
50981,"All Websites [EUR]","ALL GROUPS",1,14.280,"Product Type is invalid or not supported"
51002,"All Websites [EUR]","ALL GROUPS",1,8.390,"Product Type is invalid or not supported"
51003,"All Websites [EUR]","ALL GROUPS",1,5.200,"Product Type is invalid or not supported"
51006,"All Websites [EUR]","ALL GROUPS",1,10.850,"Product Type is invalid or not supported"
51012,"All Websites [EUR]","ALL GROUPS",1,5.990,"Product Type is invalid or not supported"
51015,"All Websites [EUR]","ALL GROUPS",1,12.960,"Product Type is invalid or not supported"
51018-BK,"All Websites [EUR]","ALL GROUPS",1,8.800,"Product Type is invalid or not supported"
51032,"All Websites [EUR]","ALL GROUPS",1,7.330,"Product Type is invalid or not supported"
